institution,type,in-state-cost,out-state-cost
Trevecca Nazarene University,Private,39484,39484
Tusculum University,Private,40780,40780
Union University,Private,53550,53550
University of Memphis,Public,25423,37135
Vanderbilt University,Private,70146,70146
Visible Music College,Private,30500,30500
Watkins College of Art Design & Film,Private,41950,41950
Welch College,Private,34726,34726
Abilene Christian University,Private,49722,49722
Angelo State University,Public,21046,31006
Arlington Baptist University,Private,24493,24493
Austin College,Private,55137,55137
Baptist Missionary Association Theological Seminary,Private,16300,16300
Baptist University of the Americas,Private,16210,16210
Baylor University,Private,62527,62527
Concordia University Texas,Private,47244,47244
Dallas Baptist University,Private,41170,41170
Dallas Christian College,Private,33844,33844
East Texas Baptist University,Private,38787,38787
Hardin-Simmons University,Private,41046,41046
Houston Baptist University,Private,46340,46340
Howard Payne University,Private,40566,40566
Huston-Tillotson University,Private,24414,24414
Jarvis Christian College,Private,25280,25280
Lamar University,Public,22641,32601
LeTourneau University,Private,44420,44420
Lubbock Christian University,Private,36284,36284
McMurry University,Private,41375,41375
Messenger College,Private,22202,22202
Midland College,Public,12702,13962
Midwestern State University,Public,21069,23019
North American University,Private,23600,23600
Our Lady of the Lake University,Private,43168,43168
Paul Quinn College,Private,19020,19020
Prairie View A & M University,Public,24847,39157
Rice University,Private,65150,65150
Saint Edward’s University,Private,61670,61670
Sam Houston State University,Public,22478,32438
Schreiner University,Private,40143,40143
Southern Methodist University,Private,74737,74737
Southwestern Adventist University,Private,33669,33669
Southwestern Assemblies of God University,Private,34178,34178
Southwestern Christian College,Private,16969,16969
Southwestern University,Private,55970,55970
St. Mary’s University,Private,45320,45320
Stephen F Austin State University,Public,22156,32116
Sul Ross State University,Public,20466,30426
Tarleton State University,Public,21795,31755
Texas A & M International University,Public,18549,29437
Texas A & M University-College Station,Public,29506,55131
Texas A & M University-Commerce,Public,22983,35433
Texas A & M University-Corpus Christi,Public,23337,33714
Texas A & M University-Kingsville,Public,23285,38262
Texas A&M University-San Antonio,Public,26076,38579
Texas A&M University-Texarkana,Public,19533,31562
Texas Christian University,Private,65684,65684
Texas College,Private,21008,21008
Texas Lutheran University,Private,43310,43310
Texas Southern University,Public,25343,37793
Texas State University,Public,23130,34750
Texas Tech University,Public,24472,34432
Texas Wesleyan University,Private,46252,46252
Texas Woman’s University,Public,20272,30232
The University of Texas at Arlington,Public,26660,42697
The University of Texas at Austin,Public,26506,53476
The University of Texas at Dallas,Public,29286,53128
The University of Texas at El Paso,Public,23843,38274
The University of Texas at San Antonio,Public,23715,35204
The University of Texas at Tyler,Public,21730,34720
The University of Texas of the Permian Basin,Public,20890,21730
The University of Texas Rio Grande Valley,Public,20471,30431
Trinity University,Private,58840,58840
Tyler Junior College,Public,18564,19284
University of Dallas,Private,57352,57352
University of Houston,Public,23225,35585
University of Houston-Clear Lake,Public,23276,36228
University of Houston-Victoria,Public,19627,29587
University of Mary Hardin-Baylor,Private,41426,41426
University of North Texas,Public,24712,34672
University of North Texas at Dallas,Public,23374,35824
University of St Thomas,Private,47646,47646
University of the Incarnate Word,Private,48628,48628
Wayland Baptist University,Private,33318,33318
West Texas A & M University,Public,21285,22654
Wiley College,Private,23906,23906
Brigham Young University-Provo,Private,18776,18776
Dixie State University,Public,18755,28553
Neumont College of Computer Science,For-Profit,33878,33878
Snow College,Public,12942,21762
Southern Utah University,Public,20420,34236
University of Utah,Public,24472,44465
Utah State University,Public,20504,34682
Weber State University,Public,20511,30298
Westminster College,Private,48264,48264
Bennington College,Private,73270,73270
Castleton University,Public,25316,41324
Champlain College,Private,59698,59698
College of St Joseph,Private,33820,33820
Green Mountain College,Private,50352,50352
Landmark College,Private,74040,74040
Marlboro College,Private,56458,56458
Middlebury College,Private,71980,71980
New England Culinary Institute,For-Profit,40221,40221
Northern Vermont University,Public,25424,38744
Norwich University,Private,58054,58054
Saint Michael’s College,Private,59765,59765
Southern Vermont College,Private,38511,38511
Sterling College,Private,50900,50900
University of Vermont,Public,34210,58450
Vermont Technical College,Public,28356,41028
Averett University,Private,47918,47918
Bluefield College,Private,38844,38844
Bridgewater College,Private,51310,51310
Christopher Newport University,Public,31102,43968
College of William and Mary,Public,39221,61093
Eastern Mennonite University,Private,51500,51500
Emory & Henry College,Private,50800,50800
Ferrum College,Private,48530,48530
George Mason University,Public,30284,53744
Hampden-Sydney College,Private,62304,62304
Hampton University,Private,42380,42380
Hollins University,Private,55655,55655
James Madison University,Public,27356,43756
Jefferson College of Health Sciences,Private,44536,44536
Liberty University,Private,40075,40075
Longwood University,Public,27330,43290
Mary Baldwin University,Private,43550,43550
Marymount University,Private,50766,50766
Norfolk State University,Public,24995,36163
Old Dominion University,Public,26456,45356
Radford University,Public,24088,36170
Randolph College,Private,57115,57115
Randolph-Macon College,Private,55860,55860
Regent University,Private,29763,29763
Roanoke College,Private,61095,61095
Shenandoah University,Private,47000,47000
Southern Virginia University,Private,28261,28261
Sweet Briar College,Private,38100,38100
The University of Virginia’s College at Wise,Public,24596,42323
University of Lynchburg,Private,52880,52880
University of Mary Washington,Public,28626,44560
University of Richmond,Private,67020,67020
University of Virginia-Main Campus,Public,33493,64872
Virginia Commonwealth University,Public,32041,53382
Virginia Military Institute,Public,31494,58338
Virginia Polytechnic Institute and State University,Public,26834,45122
Virginia State University,Public,23239,34490
Virginia Union University,Private,31358,31358
Virginia University of Lynchburg,Private,25329,25329
Virginia Wesleyan University,Private,50517,50517
Washington and Lee University,Private,70500,70500
Bellevue College,Public,20584,25950
Central Washington University,Public,23201,38182
Centralia College,Public,19257,19692
City University of Seattle,Private,31238,31238
Columbia Basin College,Public,18068,20038
Cornish College of the Arts,Private,59442,59442
DigiPen Institute of Technology,For-Profit,46220,46220
Eastern Washington University,Public,23011,40132
Edmonds Community College,Public,17666,23036
Gonzaga University,Private,59795,59795
Northwest Indian College,Public,13989,13989
Northwest University,Private,43440,43440
Olympic College,Public,18621,19091
Pacific Lutheran University,Private,56784,56784
Pierce College-Fort Steilacoom,Public,18404,18832
Saint Martin’s University,Private,52802,52802
Seattle Pacific University,Private,58794,58794
Seattle University,Private,61608,61608
Skagit Valley College,Public,18000,18500
The Evergreen State College,Public,23397,41913
University of Puget Sound,Private,65616,65616
University of Washington-Bothell Campus,Public,27704,53085
University of Washington-Seattle Campus,Public,27638,53019
University of Washington-Tacoma Campus,Public,26978,52359
Walla Walla University,Private,37890,37890
Washington State University,Public,27484,41720
Wenatchee Valley College,Public,14760,15189
Western Washington University,Public,24077,39491
Whatcom Community College,Public,16731,22160
Whitman College,Private,68082,68082
Whitworth University,Private,59350,59350
Yakima Valley College,Public,17343,17818
Alderson Broaddus University,Private,40952,40952
Appalachian Bible College,Private,26156,26156
Bethany College,Private,44153,44153
Concord University,Public,21243,30687
Davis & Elkins College,Private,43064,43064
Fairmont State University,Public,19518,28328
Glenville State College,Public,21444,30105
Marshall University,Public,21969,32455
Ohio Valley University,Private,32880,32880
Potomac State College of West Virginia University,Public,16532,23420
Salem University,For-Profit,27180,27180
Shepherd University,Public,21903,32403
University of Charleston,Private,44700,44700
West Liberty University,Public,23302,31242
West Virginia State University,Public,24585,34039
West Virginia University,Public,23294,39388
West Virginia University Institute of Technology,Public,22374,33558
West Virginia Wesleyan College,Private,46561,46561
Wheeling Jesuit University,Private,42290,42290
Alverno College,Private,40693,40693
Beloit College,Private,61584,61584
Cardinal Stritch University,Private,44130,44130
Carroll University,Private,45360,45360
Carthage College,Private,59240,59240
Concordia University-Wisconsin,Private,44850,44850
Edgewood College,Private,44216,44216
Lakeland University,Private,42276,42276
Lawrence University,Private,60141,60141
Maranatha Baptist University,Private,26630,26630
Marian University,Private,39229,39229
Marquette University,Private,58057,58057
Milwaukee Institute of Art & Design,Private,49130,49130
Milwaukee School of Engineering,Private,53684,53684
Mount Mary University,Private,46402,46402
Northland College,Private,48809,48809
Ripon College,Private,54558,54558
Saint Norbert College,Private,50133,50133
Silver Lake College of the Holy Family,Private,44256,44256
University of Wisconsin-Eau Claire,Public,20349,28624
University of Wisconsin-Green Bay,Public,19334,27184
University of Wisconsin-La Crosse,Public,17514,26183
University of Wisconsin-Madison,Public,26025,52275
University of Wisconsin-Milwaukee,Public,24486,35765
University of Wisconsin-Oshkosh,Public,19493,27066
University of Wisconsin-Parkside,Public,19597,27586
University of Wisconsin-Platteville,Public,19323,27173
University of Wisconsin-River Falls,Public,17937,25510
University of Wisconsin-Stevens Point,Public,19069,27336
University of Wisconsin-Stout,Public,19973,27940
University of Wisconsin-Superior,Public,19711,27284
University of Wisconsin-Whitewater,Public,19062,27635
Viterbo University,Private,40530,40530
Wisconsin Lutheran College,Private,43035,43035
University of Wyoming,Public,19960,32050
