institution,type,in-state-cost,out-state-cost
Oglethorpe University,Private,55250,55250
Paine College,Private,26782,26782
Piedmont College,Private,40478,40478
Point University,Private,30500,30500
Reinhardt University,Private,40700,40700
Savannah College of Art and Design,Private,57443,57443
Savannah State University,Public,17255,27716
Shorter University,Private,35130,35130
South Georgia State College,Public,18110,24307
Spelman College,Private,52929,52929
Thomas University,Private,27180,27180
Toccoa Falls College,Private,37392,37392
Truett McConnell University,Private,32880,32880
University of Georgia,Public,26688,45262
University of North Georgia,Public,20492,29314
University of West Georgia,Public,24396,35182
Valdosta State University,Public,21320,32106
Wesleyan College,Private,34860,34860
Young Harris College,Private,43389,43389
Brigham Young University-Hawaii,Private,19054,19054
Chaminade University of Honolulu,Private,42945,42945
Hawaii Pacific University,Private,44414,44414
Pacific Rim Christian University,Private,21877,21877
University of Hawaii at Hilo,Public,20530,33490
University of Hawaii at Manoa,Public,29858,51890
Boise Bible College,Private,23818,23818
Boise State University,Public,23076,39158
Brigham Young University-Idaho,Private,12050,12050
Idaho State University,Public,21548,37068
Lewis-Clark State College,Public,17218,29836
Northwest Nazarene University,Private,40890,40890
The College of Idaho,Private,43349,43349
University of Idaho,Public,21350,38986
Augustana College,Private,54907,54907
Aurora University,Private,37994,37994
Benedictine University,Private,50006,50006
Blackburn College,Private,31990,31990
Bradley University,Private,47820,47820
Chicago State University,Public,24587,31547
Columbia College Chicago,Private,45644,45644
Concordia University-Chicago,Private,44426,44426
DePaul University,Private,57678,57678
Dominican University,Private,46175,46175
Eastern Illinois University,Public,24305,26525
Elmhurst College,Private,51199,51199
Eureka College,Private,37010,37010
Governors State University,Public,25092,34482
Greenville University,Private,40348,40348
Hebrew Theological College,Private,32194,32194
Illinois College,Private,43870,43870
Illinois Institute of Technology,Private,65386,65386
Illinois State University,Public,29758,41282
Illinois Wesleyan University,Private,61020,61020
Judson University,Private,43368,43368
Knox College,Private,58324,58324
Lake Forest College,Private,60980,60980
Lewis University,Private,46758,46758
Lincoln Christian University,Private,26581,26581
Lincoln College,Private,35580,35580
Loyola University Chicago,Private,61328,61328
MacMurray College,Private,38650,38650
McKendree University,Private,43500,43500
Methodist College,Private,42100,42100
Millikin University,Private,49920,49920
Monmouth College,Private,49590,49590
Moody Bible Institute,Private,27080,27080
National Louis University,Private,31050,31050
North Central College,Private,52728,52728
North Park University,Private,43005,43005
Northeastern Illinois University,Public,31531,41039
Northern Illinois University,Public,29117,29117
Northwestern University,Private,74649,74649
Olivet Nazarene University,Private,47670,47670
Principia College,Private,43080,43080
Quincy University,Private,42462,42462
Robert Morris University Illinois,Private,48690,48690
Rockford University,Private,44270,44270
Roosevelt University,Private,48655,48655
Saint Xavier University,Private,48436,48436
School of the Art Institute of Chicago,Private,67870,67870
Southern Illinois University-Carbondale,Public,29367,43823
Southern Illinois University-Edwardsville,Public,25637,25637
Telshe Yeshiva-Chicago,Private,17500,17500
Trinity Christian College,Private,43865,43865
Trinity International University-Illinois,Private,46510,46510
University of Chicago,Private,78555,78555
University of Illinois at Chicago,Public,30866,44082
University of Illinois at Springfield,Public,25473,34998
University of Illinois at Urbana-Champaign,Public,30102,46672
University of St Francis,Private,45664,45664
